FLOOD_HEIGHT,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,ELEVATION,SLOPE
7,14.5,35.2,25.2,30.2,1,320,5.823,1.253
7,14.5,35.2,25.2,30.2,1,320,40.947,0.811
7,14.5,35.2,25.2,30.2,1,320,18.39,3.452
7,9,33.2,26.6,29.9,3,270,4.274,32.616
7,9,33.2,26.6,29.9,3,270,6.957,0.683
12,0,33.5,26.5,30,3,250,2.343,1.764
12,0,33.5,26.5,30,3,250,2.816,4.474
14,9,33.2,26.6,29.9,3,270,3.616,0.104
24,9,33.2,26.6,29.9,3,270,2.328,0.357
36,9,33.2,26.6,29.9,3,270,4.685,0.912
36,9,33.2,26.6,29.9,3,270,3.563,0.543
37,9,33.2,26.6,29.9,3,270,3.616,0.104
36,9,33.2,26.6,29.9,3,270,6.817,1.262
8,0,33.5,26.5,30,3,250,1.728,0.395
12,9,33.2,26.6,29.9,3,270,5.53,0.545
-1,9,33.2,26.6,29.9,3,270,4.034,1.015
7,71.2,32.5,24.3,28.4,1,140,38.359,0.937
9,71.2,32.5,24.3,28.4,1,140,5.466,0.376
7,71.2,32.5,24.3,28.4,1,140,32.663,0.488
7,71.2,32.5,24.3,28.4,1,140,36.153,2.614
18,71.2,32.5,24.3,28.4,1,140,13.365,7.892
7,71.2,32.5,24.3,28.4,1,140,6.221,0.201
7,71.2,32.5,24.3,28.4,1,140,9.94,5.096
7,0,33.5,26.5,30,3,250,3.326,7.104
18,71.2,32.5,24.3,28.4,1,140,4.788,1.469
7,0,33.5,26.5,30,3,250,2.318,0.716
7,0,33.5,26.5,30,3,250,2.587,0.786
7,0,33.5,26.5,30,3,250,2.376,1.737
18,0,33.5,26.5,30,3,250,2.84,1.183
36,0,33.5,26.5,30,3,250,2.51,7.239
18,0,33.5,26.5,30,3,250,2.083,1.519
18,0,33.5,26.5,30,3,250,2.329,1.002
18,0,33.5,26.5,30,3,250,2.292,1.716
18,0,33.5,26.5,30,3,250,3.257,0.152
18,0,33.5,26.5,30,3,250,2.796,1.131
18,0,33.5,26.5,30,3,250,3.243,1.852
18,71.2,32.5,24.3,28.4,1,140,9.151,9.734
18,0,33.5,26.5,30,3,250,6.806,1.031
18,0,33.5,26.5,30,3,250,1.93,1.807
18,0,33.5,26.5,30,3,250,4.407,3.308
18,71.2,32.5,24.3,28.4,1,140,6.317,1.244
18,71.2,32.5,24.3,28.4,1,140,3.776,2.639
18,0,33.5,26.5,30,3,250,6.42,1.743
18,0,33.5,26.5,30,3,250,6.42,1.743
7,0,33.5,26.5,30,3,250,2.921,1.482
7,71.2,32.5,24.3,28.4,1,140,38.199,0.913
-1,71.2,32.5,24.3,28.4,1,140,32.956,1.395
10,0,33.5,26.5,30,3,250,2.684,1.4
18,71.2,32.5,24.3,28.4,1,140,-1,-1
8,9,33.2,26.6,29.9,3,270,-1,-1
19,9,33.2,26.6,29.9,3,270,-1,-1
8,9,33.2,26.6,29.9,3,270,-1,-1
19,9,33.2,26.6,29.9,3,270,3.915,1.36
8,9,33.2,26.6,29.9,3,270,1.976,0.535
19,0,33.5,26.5,30,3,250,1.943,0.672
13,9,33.2,26.6,29.9,3,270,2.436,0.85
14,9,33.2,26.6,29.9,3,270,22.394,1.414
7,9,33.2,26.6,29.9,3,270,1.89,1.18
7,9,33.2,26.6,29.9,3,270,2.093,0.512
37,9,33.2,26.6,29.9,3,270,18.776,1.902
24,9,33.2,26.6,29.9,3,270,12.4,30.479
11,71.2,32.5,24.3,28.4,1,140,15.918,1.037
10,71.2,32.5,24.3,28.4,1,140,17.979,3.623
6,71.2,32.5,24.3,28.4,1,140,15.918,1.037
11,1,31.8,25.8,28.8,1,110,15.918,1.037
8,10,31,25.2,28.1,2,260,-1,-1
19,10,31,25.2,28.1,2,260,-1,-1
8,10,31,25.2,28.1,2,260,-1,-1
7,21.8,32.3,25.8,29,1,220,38.359,0.937
14,7,31.8,25.3,28.55,4,260,22.394,1.414
7,71.5,30.2,24.1,27.15,2,270,4.274,32.616
7,71.5,30.2,24.1,27.15,2,270,6.957,0.683
12,38,31,23.5,27.3,3,220,2.343,1.764
12,38,31,23.5,27.3,3,220,2.816,4.474
14,71.5,30.2,24.1,27.15,2,270,3.616,0.104
24,71.5,30.2,24.1,27.15,2,270,2.328,0.357
36,71.5,30.2,24.1,27.15,2,270,4.685,0.912
36,71.5,30.2,24.1,27.15,2,270,3.563,0.543
7,22.9,31,23.6,27.3,1,340,38.359,0.937
9,22.9,31,23.6,27.3,1,340,5.466,0.376
7,22.9,31,23.6,27.3,1,340,32.663,0.488
7,22.9,31,23.6,27.3,1,340,36.153,2.614
18,22.9,31,23.6,27.3,1,340,13.365,7.892
18,22.9,31,23.6,27.3,1,340,6.221,0.201
7,22.9,31,23.6,27.3,1,340,9.94,5.096
7,38,31,23.5,27.3,3,220,3.326,7.104
18,22.9,31,23.6,27.3,1,340,4.788,1.469
7,38,31,23.5,27.3,3,220,2.318,0.716
7,38,31,23.5,27.3,3,220,2.587,0.786
7,38,31,23.5,27.3,3,220,2.376,1.737
18,38,31,23.5,27.3,3,220,2.84,1.183
36,38,31,23.5,27.3,3,220,2.51,7.239
18,38,31,23.5,27.3,3,220,2.083,1.519
18,38,31,23.5,27.3,3,220,2.329,1.002
